CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,Related_Change
SUB000508,subapplication,Web Based Application,WBS000162,IM0000004,Closed,4,4,4,0.601292279,incident,KM0000553,closed,26,5/2/2012 13:32,,4/11/2013 13:50,4/11/2013 13:51,"3,87,16,91,111",Other,1,SD0000007,2,,
WBA000124,application,Web Based Application,WBS000088,IM0000005,Closed,3,3,3,0.415049969,incident,KM0000611,closed,33,12/3/2012 15:44,2/12/2013 12:31,2/12/2013 12:36,2/12/2013 12:36,"4,35,47,86,389",Software,1,SD0000011,1,,
DTA000024,application,Desktop Application,WBS000092,IM0000006,Closed,NS,3,NA,0.517551335,request for information,KM0000339,closed,3,29-03-2012 12:36,,13-01-2014 15:12,13-01-2014 15:13,"4,84,31,19,444",No error - works as designed,1,SD0000017,,,
WBA000124,application,Web Based Application,WBS000088,IM0000011,Closed,4,4,4,0.642927218,incident,KM0000611,closed,13,17-07-2012 11:49,,14-11-2013 09:31,14-11-2013 09:31,"4,32,18,33,333",Operator error,1,SD0000025,,,
WBA000124,application,Web Based Application,WBS000088,IM0000012,Closed,4,4,4,0.345258343,incident,KM0000611,closed,2,10/8/2012 11:01,,8/11/2013 13:55,8/11/2013 13:55,"3,38,39,03,333",Other,1,SD0000029,,,
WBA000124,application,Web Based Application,WBS000088,IM0000013,Closed,4,4,4,0.006675648,incident,KM0000611,closed,4,10/8/2012 11:27,,8/11/2013 13:54,8/11/2013 13:54,"3,38,34,36,944",Other,1,SD0000031,,,
WBA000082,application,Web Based Application,WBS000055,IM0000014,Closed,4,4,4,0.19290712,incident,KM0000401,closed,2,15-08-2012 14:17,,27-12-2013 10:59,27-12-2013 10:59,"3,70,31,91,389",Unknown,1,SD0000033,,,
WBA000124,application,Web Based Application,WBS000088,IM0000015,Closed,4,4,4,0.996467545,incident,KM0000611,closed,5,22-08-2012 16:31,,8/11/2013 14:09,8/11/2013 14:09,"3,29,46,24,167",Other,1,SD0000034,,,
WBA000124,application,Web Based Application,WBS000088,IM0000017,Closed,NS,3,NA,0.269573825,incident,KM0000611,closed,2,29-08-2012 15:59,,8/11/2013 14:02,8/11/2013 14:02,"0,862777778",Other,1,SD0000036,,,
WBA000082,application,Web Based Application,WBS000055,IM0000018,Closed,4,4,4,0.306670312,incident,KM0000401,closed,2,3/9/2012 16:04,,8/11/2013 14:33,8/11/2013 14:35,"3,21,15,26,944",No error - works as designed,1,SD0000037,,,
WBA000124,application,Web Based Application,WBS000088,IM0000019,Closed,4,4,4,0.439908807,incident,KM0000611,closed,6,21-09-2012 12:56,,8/11/2013 14:23,8/11/2013 14:23,"3,06,74,49,167",Software,1,SD0000040,,1,C00000056
WBA000124,application,Web Based Application,WBS000088,IM0000020,Closed,4,4,4,0.291927638,incident,KM0000611,closed,8,1/10/2012 10:49,,8/11/2013 14:18,8/11/2013 14:22,"1,32,26,19,167",Software,1,SD0000042,,,
WBA000082,application,Web Based Application,WBS000055,IM0000021,Closed,4,4,4,0.776486429,incident,KM0000401,closed,5,2/10/2012 12:12,28-01-2014 14:07,4/2/2014 9:38,4/2/2014 9:38,"1,13,24,28,333",Software,2,#MULTIVALUE,,,
WBA000124,application,Web Based Application,WBS000088,IM0000022,Closed,4,4,4,0.592713494,incident,KM0000611,closed,17,15-10-2012 15:50,,,14-11-2013 13:33,"6,67,54,16,667",Software,1,SD0000043,2,,
SBA000698,application,Server Based Application,WBS000090,IM0000023,Closed,3,3,3,0.025310167,incident,KM0000670,closed,1,18-10-2012 14:33,,12/12/2013 10:23,12/12/2013 10:24,"3,11,43,58,056",Data,1,SD0000045,,,
WBA000082,application,Web Based Application,WBS000055,IM0000024,Closed,4,4,4,0.701704659,incident,KM0000401,closed,3,23-10-2012 12:01,,8/11/2013 14:57,8/11/2013 14:58,"2,83,79,50,556",Other,1,SD0000046,2,,
SUB000539,subapplication,Web Based Application,WBS000073,IM0000028,Closed,4,4,4,0.440612692,incident,KM0000852,closed,1,21-11-2012 11:53,,20-12-2013 11:30,20-12-2013 11:31,"1,22,37,48,333",Other,1,SD0000053,,,
SUB000535,subapplication,Web Based Application,WBS000066,IM0000031,Closed,4,4,4,0.151630128,incident,KM0000928,closed,7,5/12/2012 15:17,,30-10-2013 08:45,30-10-2013 08:45,"3,79,27,77,778",Unknown,1,SD0000055,,,
DTA000616,application,Desktop Application,WBS000092,IM0000033,Closed,3,3,3,0.860254961,incident,KM0001430,closed,17,7/12/2012 14:34,,30-11-2013 10:39,30-11-2013 10:39,"2,62,67,33,889",Other,2,#MULTIVALUE,,,
WBA000082,application,Web Based Application,WBS000055,IM0000034,Closed,5,5,5,0.663615311,incident,KM0000401,closed,5,10/12/2012 14:44,11/2/2014 14:50,28-03-2014 14:20,28-03-2014 14:20,"9,31,78,08,333",Other,2,#MULTIVALUE,,,
WBA000124,application,Web Based Application,WBS000088,IM0000035,Closed,4,4,4,0.42814765,incident,KM0000611,closed,6,24-12-2012 16:31,,14-11-2013 09:49,14-11-2013 09:49,"1,93,04,83,333",Referred,1,SD0000058,2,,
WBA000116,application,Web Based Application,WBS000066,IM0000038,Closed,4,4,4,0.070123275,incident,KM0000579,closed,4,15-01-2013 15:36,,29-01-2014 15:01,29-01-2014 15:01,"2,78,19,11,944",Software,1,SD0000063,1,,
WBA000124,application,Web Based Application,WBS000088,IM0000041,Closed,4,4,4,0.529580963,incident,KM0000611,closed,2,22-01-2013 16:38,,8/11/2013 14:55,8/11/2013 14:55,"2,15,07,85,833",Other,1,SD0000065,,,
WBA000124,application,Web Based Application,WBS000088,IM0000042,Closed,4,4,4,0.898981779,incident,KM0000611,closed,12,23-01-2013 14:39,,8/11/2013 15:21,8/11/2013 15:22,"2,14,27,12,778",No error - works as designed,1,SD0000068,,,
SUB000535,subapplication,Web Based Application,WBS000066,IM0000045,Closed,4,4,4,0.146862046,incident,KM0000928,closed,7,30-01-2013 16:37,,27-01-2014 12:33,27-01-2014 12:33,"11,18,525",Software,1,SD0000072,,,
